nomor_kontrak,nama_vendor,jenis_pengadaan,durasi_kontrak,tanggal_mulai,tanggal_berakhir,nilai_kontrak
KTRK-100713,PT Indoinovasi Internasional,Maintenance,1037,2024-07-26,2027-05-29,"Rp628.301.638,00"
KTRK-100714,PT Cakrawala Teknologi Corp,Maintenance,1067,2023-05-26,2026-04-27,"Rp561.149.764,00"
KTRK-100715,PT Sibernetika Systems,Maintenance,606,2024-03-07,2025-11-03,"Rp764.559.317,00"
KTRK-100716,PT Sibernetika Corp,Pembelian,601,2023-03-22,2024-11-12,"Rp757.715.730,00"
KTRK-100717,PT Digikarya Systems,Pengembangan,539,2024-07-16,2026-01-06,"Rp635.188.271,00"
KTRK-100718,PT Inovasi Digital Group,Pembelian,738,2023-06-29,2025-07-06,"Rp899.248.381,00"
KTRK-100719,PT Cakrawala Teknologi Corp,Pengembangan,992,2023-01-06,2025-09-24,"Rp924.561.623,00"
KTRK-100720,PT BitData Systems,Pembelian,396,2024-12-01,2026-01-01,"Rp566.207.287,00"
KTRK-100721,PT Inovasi Digital Corp,Pembelian,921,2024-10-13,2027-04-22,"Rp677.448.857,00"
KTRK-100722,PT NetSol Group,Pengembangan,643,2024-10-31,2026-08-05,"Rp981.576.052,00"
KTRK-100723,PT Cakrawala Teknologi Corp,Pengembangan,637,2023-01-01,2024-09-29,"Rp600.222.571,00"
KTRK-100724,PT Cakrawala Teknologi Systems,Maintenance,765,2023-11-10,2025-12-14,"Rp807.176.314,00"
KTRK-100725,PT Koneksi Global Solusindo,Maintenance,1023,2023-11-29,2026-09-17,"Rp507.353.945,00"
KTRK-100726,PT Mitra Satu Systems,Maintenance,517,2023-05-19,2024-10-17,"Rp612.579.574,00"
KTRK-100727,PT Digikarya Internasional,Pembelian,590,2024-04-16,2025-11-27,"Rp815.487.645,00"
KTRK-100728,PT Teknologi Nusantara Group,Pengembangan,633,2024-10-31,2026-07-26,"Rp513.471.522,00"
KTRK-100729,PT Komputasi Utama Group,Pengembangan,474,2024-12-30,2026-04-18,"Rp974.129.533,00"
KTRK-100730,PT Aksara Teknologi Group,Pengembangan,712,2023-07-23,2025-07-04,"Rp511.463.670,00"
KTRK-100731,PT Indoinovasi Corp,Pengembangan,707,2023-06-03,2025-05-10,"Rp520.609.473,00"
KTRK-100732,PT Digikarya Corp,Pengembangan,793,2023-04-28,2025-06-29,"Rp906.766.422,00"
KTRK-100733,PT Cakrawala Teknologi Systems,Maintenance,629,2024-07-24,2026-04-14,"Rp784.331.247,00"
KTRK-100734,PT Teknologi Nusantara Group,Maintenance,520,2024-01-28,2025-07-01,"Rp680.377.348,00"
KTRK-100735,PT Aksara Teknologi Tbk,Maintenance,623,2023-02-15,2024-10-30,"Rp785.772.750,00"
KTRK-100736,PT NetSol Group,Maintenance,525,2023-05-20,2024-10-26,"Rp996.479.581,00"
KTRK-100737,PT Inovasi Digital Internasional,Maintenance,1059,2024-12-09,2027-11-03,"Rp532.886.248,00"
KTRK-100738,PT Digikarya Internasional,Maintenance,820,2024-10-20,2027-01-18,"Rp554.066.215,00"
KTRK-100739,PT Aksara Teknologi Tbk,Pengembangan,654,2023-02-18,2024-12-03,"Rp616.522.082,00"
KTRK-100740,PT Digikarya Group,Pembelian,726,2024-03-14,2026-03-10,"Rp841.125.734,00"
KTRK-100741,PT NetSol Corp,Pengembangan,556,2024-03-25,2025-10-02,"Rp759.707.414,00"
KTRK-100742,PT Teknologi Nusantara Systems,Pembelian,223,2023-06-18,2024-01-27,"Rp746.678.480,00"
KTRK-100743,PT Komputasi Utama Systems,Maintenance,542,2023-08-04,2025-01-27,"Rp914.250.960,00"
KTRK-100744,PT Komputasi Utama Corp,Pengembangan,643,2024-04-08,2026-01-11,"Rp576.746.825,00"
KTRK-100745,PT Indoinovasi Tbk,Pengembangan,269,2023-02-23,2023-11-19,"Rp568.892.228,00"
KTRK-100746,PT Cakrawala Teknologi Solusindo,Pembelian,643,2023-04-14,2025-01-16,"Rp545.175.413,00"
KTRK-100747,PT Indoinovasi Solusindo,Pembelian,752,2024-08-19,2026-09-10,"Rp701.376.774,00"
KTRK-100748,PT Teknologi Nusantara Solusindo,Maintenance,472,2024-07-14,2025-10-29,"Rp860.077.180,00"
KTRK-100749,PT Komputasi Utama Systems,Pengembangan,721,2024-11-10,2026-11-01,"Rp683.275.526,00"
KTRK-100750,PT Digikarya Solusindo,Maintenance,811,2023-06-27,2025-09-15,"Rp897.012.359,00"
KTRK-100751,PT Sibernetika Internasional,Pembelian,1059,2023-05-24,2026-04-17,"Rp984.679.625,00"
KTRK-100752,PT Koneksi Global Solusindo,Pembelian,777,2023-06-26,2025-08-11,"Rp837.897.504,00"
KTRK-100753,PT Indoinovasi Systems,Pembelian,787,2024-08-21,2026-10-17,"Rp637.601.069,00"
KTRK-100754,PT Koneksi Global Tbk,Pembelian,547,2023-09-01,2025-03-01,"Rp752.840.230,00"
KTRK-100755,PT Koneksi Global Group,Maintenance,623,2023-02-04,2024-10-19,"Rp695.213.014,00"
KTRK-100756,PT Solusi Digital Tbk,Pengembangan,433,2024-12-15,2026-02-21,"Rp515.459.526,00"
KTRK-100757,PT BitData Systems,Maintenance,905,2024-06-28,2026-12-20,"Rp675.429.792,00"
KTRK-100758,PT Sibernetika Corp,Pembelian,733,2024-05-11,2026-05-14,"Rp536.242.139,00"
KTRK-100759,PT Koneksi Global Tbk,Pembelian,1091,2023-08-11,2026-08-06,"Rp648.975.305,00"
KTRK-100760,PT Aksara Teknologi Group,Pembelian,586,2023-09-06,2025-04-14,"Rp896.988.303,00"
KTRK-100761,PT Indoinovasi Solusindo,Pengembangan,976,2024-09-01,2027-05-05,"Rp897.550.559,00"
KTRK-100762,PT Komputasi Utama Solusindo,Pembelian,801,2024-12-06,2027-02-15,"Rp539.602.039,00"
KTRK-100763,PT Teknologi Nusantara Tbk,Pengembangan,468,2023-10-03,2025-01-13,"Rp552.758.090,00"
KTRK-100764,PT Inovasi Digital Group,Pengembangan,777,2023-08-10,2025-09-25,"Rp647.866.874,00"
KTRK-100765,PT Digikarya Solusindo,Pembelian,340,2024-06-30,2025-06-05,"Rp657.516.544,00"
KTRK-100766,PT Inovasi Digital Corp,Pembelian,608,2023-07-20,2025-03-19,"Rp519.024.113,00"
KTRK-100767,PT Indoinovasi Systems,Maintenance,985,2024-07-03,2027-03-15,"Rp865.960.098,00"
KTRK-100768,PT Mitra Satu Solusindo,Pembelian,631,2023-01-18,2024-10-10,"Rp581.681.591,00"
KTRK-100769,PT Mitra Satu Internasional,Pembelian,426,2024-09-05,2025-11-05,"Rp943.085.379,00"
KTRK-100770,PT BitData Tbk,Pembelian,767,2023-10-28,2025-12-03,"Rp623.150.542,00"
KTRK-100771,PT Digikarya Tbk,Pembelian,939,2023-07-06,2026-01-30,"Rp937.426.726,00"
KTRK-100772,PT Aksara Teknologi Solusindo,Pengembangan,263,2023-12-21,2024-09-09,"Rp885.226.745,00"
KTRK-100773,PT Teknologi Nusantara Group,Pembelian,729,2023-12-08,2025-12-06,"Rp538.330.908,00"
KTRK-100774,PT Komputasi Utama Tbk,Pengembangan,286,2024-06-30,2025-04-12,"Rp948.512.872,00"
KTRK-100775,PT Digikarya Solusindo,Maintenance,558,2024-06-26,2026-01-05,"Rp847.269.344,00"
KTRK-100776,PT NetSol Systems,Maintenance,381,2024-07-07,2025-07-23,"Rp869.738.151,00"
KTRK-100777,PT Mitra Satu Tbk,Pembelian,525,2023-04-27,2024-10-03,"Rp654.780.857,00"
KTRK-100778,PT Sibernetika Internasional,Pembelian,629,2024-04-16,2026-01-05,"Rp585.831.170,00"
KTRK-100779,PT Indoinovasi Internasional,Pembelian,938,2024-05-15,2026-12-09,"Rp778.824.882,00"
KTRK-100780,PT NetSol Systems,Pengembangan,847,2024-01-20,2026-05-16,"Rp991.816.311,00"
KTRK-100781,PT Teknologi Nusantara Tbk,Maintenance,376,2024-07-19,2025-07-30,"Rp621.523.036,00"
KTRK-100782,PT Sibernetika Systems,Maintenance,800,2024-11-20,2027-01-29,"Rp517.337.345,00"
KTRK-100783,PT Indoinovasi Internasional,Pembelian,871,2023-02-17,2025-07-07,"Rp649.352.887,00"
KTRK-100784,PT Aksara Teknologi Tbk,Maintenance,845,2024-07-22,2026-11-14,"Rp723.637.202,00"
KTRK-100785,PT Mitra Satu Group,Pembelian,708,2023-08-08,2025-07-16,"Rp701.179.103,00"
KTRK-100786,PT Cakrawala Teknologi Internasional,Pengembangan,1036,2024-11-20,2027-09-22,"Rp808.913.616,00"
KTRK-100787,PT Cakrawala Teknologi Tbk,Pengembangan,864,2023-01-11,2025-05-24,"Rp724.622.369,00"
KTRK-100788,PT Digikarya Corp,Pembelian,264,2023-05-13,2024-02-01,"Rp642.316.639,00"
KTRK-100789,PT Komputasi Utama Tbk,Pembelian,607,2024-05-22,2026-01-19,"Rp674.451.670,00"
KTRK-100790,PT NetSol Internasional,Maintenance,333,2023-10-11,2024-09-08,"Rp663.919.194,00"
KTRK-100791,PT Komputasi Utama Systems,Maintenance,865,2023-08-24,2026-01-05,"Rp788.096.980,00"
KTRK-100792,PT Sibernetika Group,Pembelian,1047,2023-10-20,2026-09-01,"Rp784.404.598,00"
KTRK-100793,PT Indoinovasi Internasional,Pembelian,243,2023-05-11,2024-01-09,"Rp865.539.655,00"
KTRK-100794,PT Inovasi Digital Corp,Maintenance,386,2023-01-06,2024-01-27,"Rp857.857.944,00"
KTRK-100795,PT Aksara Teknologi Tbk,Pembelian,515,2024-06-21,2025-11-18,"Rp971.630.050,00"
KTRK-100796,PT Inovasi Digital Systems,Maintenance,274,2024-03-03,2024-12-02,"Rp832.829.821,00"
KTRK-100797,PT Cakrawala Teknologi Corp,Maintenance,526,2023-08-07,2025-01-14,"Rp710.622.930,00"
KTRK-100798,PT NetSol Internasional,Maintenance,1077,2024-08-05,2027-07-18,"Rp920.268.531,00"
KTRK-100799,PT Teknologi Nusantara Internasional,Pengembangan,826,2024-07-11,2026-10-15,"Rp552.365.286,00"
KTRK-100800,PT Koneksi Global Corp,Pembelian,185,2023-10-05,2024-04-07,"Rp978.834.209,00"
KTRK-100801,PT Mitra Satu Corp,Maintenance,639,2024-08-16,2026-05-17,"Rp630.290.346,00"
KTRK-100802,PT Teknologi Nusantara Tbk,Maintenance,353,2023-10-23,2024-10-10,"Rp792.677.963,00"
KTRK-100803,PT Solusi Digital Systems,Maintenance,578,2024-09-08,2026-04-09,"Rp628.163.592,00"
KTRK-100804,PT Inovasi Digital Systems,Pembelian,242,2024-05-14,2025-01-11,"Rp530.719.988,00"
KTRK-100805,PT BitData Internasional,Pembelian,346,2023-04-21,2024-04-01,"Rp510.272.132,00"
KTRK-100806,PT Aksara Teknologi Tbk,Pembelian,659,2024-02-01,2025-11-21,"Rp731.939.615,00"
KTRK-100807,PT NetSol Tbk,Maintenance,711,2024-08-24,2026-08-05,"Rp612.620.988,00"
KTRK-100808,PT Inovasi Digital Solusindo,Maintenance,433,2024-02-29,2025-05-07,"Rp550.189.807,00"
KTRK-100809,PT Inovasi Digital Solusindo,Pengembangan,734,2024-08-20,2026-08-24,"Rp513.760.970,00"
KTRK-100810,PT Mitra Satu Corp,Pengembangan,464,2023-04-08,2024-07-15,"Rp547.296.100,00"
KTRK-100811,PT Digikarya Corp,Pengembangan,895,2024-03-23,2026-09-04,"Rp873.416.986,00"
KTRK-100812,PT Digikarya Systems,Pengembangan,552,2024-02-04,2025-08-09,"Rp736.210.039,00"
KTRK-100813,PT BitData Systems,Pengembangan,910,2024-02-22,2026-08-20,"Rp529.948.748,00"
KTRK-100814,PT Indoinovasi Systems,Pengembangan,500,2023-02-18,2024-07-02,"Rp630.607.442,00"
KTRK-100815,PT Indoinovasi Tbk,Pembelian,1072,2024-02-10,2027-01-17,"Rp531.321.736,00"
KTRK-100816,PT Mitra Satu Internasional,Maintenance,502,2023-03-24,2024-08-07,"Rp574.885.905,00"
KTRK-100817,PT Inovasi Digital Tbk,Maintenance,840,2024-03-08,2026-06-26,"Rp900.952.017,00"
KTRK-100818,PT Digikarya Internasional,Pembelian,562,2023-06-19,2025-01-01,"Rp859.269.544,00"
KTRK-100819,PT Sibernetika Tbk,Pengembangan,324,2024-06-06,2025-04-26,"Rp746.276.374,00"
KTRK-100820,PT NetSol Internasional,Maintenance,504,2024-05-23,2025-10-09,"Rp627.596.511,00"
KTRK-100821,PT Cakrawala Teknologi Group,Pengembangan,391,2023-04-03,2024-04-28,"Rp700.607.416,00"
KTRK-100822,PT Solusi Digital Group,Pengembangan,225,2024-03-11,2024-10-22,"Rp558.939.869,00"
KTRK-100823,PT Solusi Digital Group,Pembelian,722,2024-03-10,2026-03-02,"Rp901.249.921,00"
KTRK-100824,PT Solusi Digital Solusindo,Pembelian,883,2023-12-09,2026-05-10,"Rp671.926.381,00"
KTRK-100825,PT Mitra Satu Solusindo,Pembelian,514,2023-05-20,2024-10-15,"Rp874.207.975,00"
KTRK-100826,PT Sibernetika Systems,Pengembangan,999,2023-06-26,2026-03-21,"Rp854.957.096,00"
KTRK-100827,PT Solusi Digital Systems,Pembelian,1007,2023-12-16,2026-09-18,"Rp927.777.420,00"
KTRK-100828,PT Koneksi Global Tbk,Pembelian,419,2024-10-24,2025-12-17,"Rp999.790.066,00"
KTRK-100829,PT NetSol Systems,Pembelian,443,2024-08-28,2025-11-14,"Rp546.850.617,00"
KTRK-100830,PT Indoinovasi Systems,Pengembangan,616,2023-02-02,2024-10-10,"Rp530.403.731,00"
KTRK-100831,PT Inovasi Digital Systems,Pengembangan,305,2024-04-01,2025-01-31,"Rp967.660.990,00"
KTRK-100832,PT Inovasi Digital Group,Pembelian,281,2023-05-26,2024-03-02,"Rp950.262.303,00"
KTRK-100833,PT Indoinovasi Systems,Maintenance,951,2023-10-23,2026-05-31,"Rp657.106.439,00"
KTRK-100834,PT Digikarya Corp,Maintenance,516,2023-07-10,2024-12-07,"Rp509.256.708,00"
KTRK-100835,PT NetSol Tbk,Pembelian,915,2023-04-27,2025-10-28,"Rp515.241.162,00"
KTRK-100836,PT Cakrawala Teknologi Solusindo,Pengembangan,409,2023-10-30,2024-12-12,"Rp584.575.757,00"
KTRK-100837,PT BitData Solusindo,Pengembangan,942,2023-06-07,2026-01-04,"Rp614.278.280,00"
KTRK-100838,PT Aksara Teknologi Solusindo,Maintenance,271,2024-10-13,2025-07-11,"Rp685.821.632,00"
KTRK-100839,PT Komputasi Utama Systems,Maintenance,748,2024-05-21,2026-06-08,"Rp864.688.774,00"
KTRK-100840,PT Koneksi Global Systems,Maintenance,675,2023-10-29,2025-09-03,"Rp700.864.207,00"
KTRK-100841,PT Solusi Digital Internasional,Pengembangan,860,2023-07-25,2025-12-01,"Rp655.458.442,00"
KTRK-100842,PT Mitra Satu Internasional,Pengembangan,540,2024-07-03,2025-12-25,"Rp586.300.246,00"
KTRK-100843,PT Koneksi Global Systems,Pengembangan,989,2023-04-18,2026-01-01,"Rp534.155.355,00"
KTRK-100844,PT Aksara Teknologi Systems,Pengembangan,353,2024-12-19,2025-12-07,"Rp812.294.644,00"
KTRK-100845,PT Koneksi Global Internasional,Maintenance,584,2023-03-04,2024-10-08,"Rp918.133.556,00"
KTRK-100846,PT Aksara Teknologi Systems,Pembelian,493,2023-03-03,2024-07-08,"Rp829.289.251,00"
KTRK-100847,PT Solusi Digital Group,Pengembangan,657,2024-01-21,2025-11-08,"Rp528.098.821,00"
KTRK-100848,PT BitData Internasional,Pengembangan,908,2023-08-13,2026-02-06,"Rp593.738.135,00"
KTRK-100849,PT Inovasi Digital Group,Pengembangan,563,2024-10-02,2026-04-18,"Rp814.861.566,00"
KTRK-100850,PT Koneksi Global Solusindo,Maintenance,341,2024-09-16,2025-08-23,"Rp546.714.691,00"
KTRK-100851,PT Cakrawala Teknologi Corp,Maintenance,547,2024-04-30,2025-10-29,"Rp600.110.417,00"
KTRK-100852,PT Mitra Satu Tbk,Pengembangan,920,2024-04-06,2026-10-13,"Rp541.157.428,00"
KTRK-100853,PT Digikarya Solusindo,Pengembangan,955,2023-09-05,2026-04-17,"Rp757.720.422,00"
KTRK-100854,PT Cakrawala Teknologi Tbk,Pengembangan,215,2023-03-18,2023-10-19,"Rp875.919.671,00"
KTRK-100855,PT Koneksi Global Tbk,Maintenance,626,2023-02-09,2024-10-27,"Rp778.298.116,00"
KTRK-100856,PT Sibernetika Tbk,Pembelian,218,2023-02-19,2023-09-25,"Rp741.420.419,00"
KTRK-100857,PT Teknologi Nusantara Systems,Pembelian,328,2024-12-16,2025-11-09,"Rp942.320.882,00"
KTRK-100858,PT Inovasi Digital Systems,Pengembangan,482,2024-03-23,2025-07-18,"Rp689.376.132,00"
KTRK-100859,PT Indoinovasi Corp,Maintenance,197,2024-07-04,2025-01-17,"Rp819.604.818,00"
KTRK-100860,PT Sibernetika Tbk,Pengembangan,1024,2024-03-07,2026-12-26,"Rp675.597.204,00"
KTRK-100861,PT Cakrawala Teknologi Corp,Pengembangan,777,2024-11-29,2027-01-15,"Rp723.943.236,00"
KTRK-100862,PT Mitra Satu Group,Maintenance,941,2024-01-30,2026-08-28,"Rp730.173.462,00"
KTRK-100863,PT Indoinovasi Internasional,Maintenance,277,2023-01-09,2023-10-13,"Rp516.397.177,00"
KTRK-100864,PT Inovasi Digital Solusindo,Pengembangan,1085,2023-04-22,2026-04-11,"Rp732.900.159,00"
KTRK-100865,PT Cakrawala Teknologi Corp,Maintenance,425,2024-11-15,2026-01-14,"Rp970.930.580,00"
KTRK-100866,PT Komputasi Utama Group,Maintenance,539,2024-02-07,2025-07-30,"Rp761.892.470,00"
KTRK-100867,PT Digikarya Corp,Pembelian,614,2023-01-15,2024-09-20,"Rp897.820.555,00"
KTRK-100868,PT Cakrawala Teknologi Corp,Maintenance,771,2023-11-01,2025-12-11,"Rp874.716.208,00"
KTRK-100869,PT NetSol Group,Pembelian,1040,2024-08-07,2027-06-13,"Rp968.680.293,00"
KTRK-100870,PT Aksara Teknologi Tbk,Pembelian,1024,2023-08-10,2026-05-30,"Rp782.040.558,00"
KTRK-100871,PT Digikarya Internasional,Pembelian,716,2023-10-09,2025-09-24,"Rp849.697.615,00"
KTRK-100872,PT Solusi Digital Tbk,Maintenance,755,2024-06-15,2026-07-10,"Rp916.478.408,00"
KTRK-100873,PT Koneksi Global Corp,Maintenance,608,2023-02-02,2024-10-02,"Rp814.859.878,00"
KTRK-100874,PT Teknologi Nusantara Solusindo,Pembelian,767,2023-01-24,2025-03-01,"Rp564.222.986,00"
KTRK-100875,PT Solusi Digital Solusindo,Pengembangan,364,2024-04-27,2025-04-26,"Rp788.495.630,00"
KTRK-100876,PT Cakrawala Teknologi Internasional,Pembelian,538,2024-06-13,2025-12-03,"Rp923.309.493,00"
KTRK-100877,PT Sibernetika Corp,Pembelian,1008,2023-12-16,2026-09-19,"Rp794.079.726,00"
KTRK-100878,PT NetSol Corp,Pengembangan,874,2023-12-30,2026-05-22,"Rp513.951.130,00"
KTRK-100879,PT Komputasi Utama Tbk,Pembelian,809,2023-11-14,2026-01-31,"Rp893.306.654,00"
KTRK-100880,PT Koneksi Global Tbk,Maintenance,805,2023-01-31,2025-04-15,"Rp518.932.501,00"
KTRK-100881,PT Teknologi Nusantara Systems,Maintenance,235,2023-10-31,2024-06-22,"Rp735.277.641,00"
KTRK-100882,PT Mitra Satu Corp,Pembelian,180,2024-07-07,2025-01-03,"Rp758.008.960,00"
KTRK-100883,PT BitData Corp,Maintenance,907,2023-11-02,2026-04-27,"Rp881.740.643,00"
KTRK-100884,PT Aksara Teknologi Internasional,Pengembangan,1008,2024-08-17,2027-05-22,"Rp578.372.542,00"
KTRK-100885,PT Koneksi Global Internasional,Maintenance,578,2023-03-13,2024-10-11,"Rp995.212.352,00"
KTRK-100886,PT NetSol Corp,Pengembangan,611,2024-02-20,2025-10-23,"Rp704.345.284,00"
KTRK-100887,PT Inovasi Digital Corp,Pengembangan,256,2024-02-28,2024-11-10,"Rp898.575.484,00"
KTRK-100888,PT Digikarya Internasional,Maintenance,891,2024-12-31,2027-06-10,"Rp835.583.756,00"
KTRK-100889,PT BitData Tbk,Pengembangan,540,2024-11-22,2026-05-16,"Rp965.215.389,00"
KTRK-100890,PT Inovasi Digital Solusindo,Maintenance,889,2024-12-09,2027-05-17,"Rp805.990.160,00"
KTRK-100891,PT Cakrawala Teknologi Solusindo,Maintenance,751,2023-04-01,2025-04-21,"Rp693.493.669,00"
KTRK-100892,PT NetSol Systems,Maintenance,318,2023-07-20,2024-06-02,"Rp645.607.264,00"
KTRK-100893,PT Komputasi Utama Corp,Pengembangan,310,2024-07-21,2025-05-27,"Rp930.527.230,00"
KTRK-100894,PT BitData Group,Pembelian,438,2023-02-10,2024-04-23,"Rp910.650.104,00"
KTRK-100895,PT Teknologi Nusantara Group,Maintenance,761,2024-04-13,2026-05-14,"Rp736.811.081,00"
KTRK-100896,PT Teknologi Nusantara Group,Pembelian,205,2024-08-21,2025-03-14,"Rp611.121.665,00"
KTRK-100897,PT Aksara Teknologi Systems,Pembelian,420,2024-02-02,2025-03-28,"Rp509.268.382,00"
KTRK-100898,PT Inovasi Digital Corp,Maintenance,847,2023-06-09,2025-10-03,"Rp960.200.952,00"
KTRK-100899,PT Koneksi Global Tbk,Maintenance,430,2023-11-27,2025-01-30,"Rp603.920.399,00"
KTRK-100900,PT Teknologi Nusantara Solusindo,Pengembangan,481,2024-01-07,2025-05-02,"Rp220.012.490,00"
KTRK-100901,PT Teknologi Nusantara Systems,Maintenance,955,2023-02-10,2025-09-22,"Rp210.329.108,00"
KTRK-100902,PT Solusi Digital Corp,Pengembangan,1057,2024-02-23,2027-01-15,"Rp374.518.423,00"
KTRK-100903,PT Komputasi Utama Corp,Pembelian,713,2023-06-03,2025-05-16,"Rp116.351.217,00"
KTRK-100904,PT NetSol Solusindo,Pembelian,885,2023-06-02,2025-11-03,"Rp212.909.172,00"
KTRK-100905,PT Sibernetika Internasional,Pengembangan,330,2023-02-15,2024-01-11,"Rp311.898.098,00"
KTRK-100906,PT Indoinovasi Corp,Maintenance,875,2023-04-13,2025-09-04,"Rp246.156.396,00"
KTRK-100907,PT Indoinovasi Systems,Pembelian,319,2023-10-19,2024-09-02,"Rp364.189.723,00"
KTRK-100908,PT Mitra Satu Systems,Pengembangan,312,2023-10-14,2024-08-21,"Rp478.454.705,00"
KTRK-100909,PT Aksara Teknologi Internasional,Maintenance,219,2023-12-29,2024-08-04,"Rp257.037.027,00"
KTRK-100910,PT Koneksi Global Tbk,Maintenance,575,2023-04-26,2024-11-21,"Rp442.459.260,00"
KTRK-100911,PT Indoinovasi Group,Maintenance,384,2023-12-25,2025-01-12,"Rp459.582.207,00"
KTRK-100912,PT Komputasi Utama Tbk,Pengembangan,392,2024-03-30,2025-04-26,"Rp173.035.958,00"
KTRK-100913,PT Cakrawala Teknologi Tbk,Pembelian,898,2024-05-13,2026-10-28,"Rp356.980.601,00"
KTRK-100914,PT Solusi Digital Systems,Maintenance,381,2024-03-18,2025-04-03,"Rp453.021.096,00"
KTRK-100915,PT BitData Corp,Pembelian,612,2023-02-06,2024-10-10,"Rp319.773.358,00"
KTRK-100916,PT Sibernetika Corp,Maintenance,376,2024-11-21,2025-12-02,"Rp385.895.923,00"
KTRK-100917,PT Sibernetika Solusindo,Pengembangan,213,2024-12-14,2025-07-15,"Rp435.079.370,00"
KTRK-100918,PT BitData Group,Maintenance,969,2024-07-28,2027-03-24,"Rp211.143.898,00"
KTRK-100919,PT Indoinovasi Internasional,Pengembangan,718,2023-05-02,2025-04-19,"Rp476.524.866,00"
KTRK-100920,PT Aksara Teknologi Group,Pembelian,887,2023-06-24,2025-11-27,"Rp459.948.450,00"
KTRK-100921,PT Teknologi Nusantara Systems,Maintenance,886,2024-10-10,2027-03-15,"Rp208.151.074,00"
KTRK-100922,PT Inovasi Digital Tbk,Pembelian,329,2024-09-22,2025-08-17,"Rp483.040.310,00"
KTRK-100923,PT NetSol Tbk,Pembelian,573,2023-11-22,2025-06-17,"Rp221.858.582,00"
KTRK-100924,PT Cakrawala Teknologi Tbk,Pembelian,421,2024-12-17,2026-02-11,"Rp161.235.186,00"
KTRK-100925,PT Inovasi Digital Tbk,Pembelian,619,2024-02-22,2025-11-02,"Rp243.906.755,00"
KTRK-100926,PT NetSol Tbk,Maintenance,1001,2024-01-22,2026-10-19,"Rp332.511.218,00"
KTRK-100927,PT BitData Systems,Maintenance,930,2024-02-29,2026-09-16,"Rp307.461.930,00"
KTRK-100928,PT Komputasi Utama Corp,Pembelian,275,2023-08-17,2024-05-18,"Rp338.064.727,00"
KTRK-100929,PT Koneksi Global Solusindo,Pembelian,263,2024-01-03,2024-09-22,"Rp197.881.991,00"
KTRK-100930,PT Aksara Teknologi Internasional,Pengembangan,402,2024-12-07,2026-01-13,"Rp227.161.490,00"
KTRK-100931,PT Koneksi Global Systems,Maintenance,951,2024-08-10,2027-03-19,"Rp347.503.523,00"
KTRK-100932,PT Sibernetika Corp,Pembelian,258,2023-11-16,2024-07-31,"Rp187.637.579,00"
KTRK-100933,PT Aksara Teknologi Solusindo,Maintenance,622,2023-06-01,2025-02-12,"Rp120.843.213,00"
KTRK-100934,PT Mitra Satu Corp,Pembelian,814,2024-03-12,2026-06-04,"Rp208.218.660,00"
KTRK-100935,PT Inovasi Digital Corp,Pengembangan,753,2023-07-28,2025-08-19,"Rp298.219.381,00"
KTRK-100936,PT Mitra Satu Group,Maintenance,605,2024-10-15,2026-06-12,"Rp410.807.103,00"
KTRK-100937,PT Koneksi Global Tbk,Pembelian,693,2023-12-05,2025-10-28,"Rp314.270.166,00"
KTRK-100938,PT Sibernetika Tbk,Pembelian,534,2024-05-31,2025-11-16,"Rp227.193.380,00"
KTRK-100939,PT Solusi Digital Solusindo,Pembelian,833,2024-11-23,2027-03-06,"Rp379.861.578,00"
KTRK-100940,PT Inovasi Digital Systems,Maintenance,631,2023-12-19,2025-09-10,"Rp418.719.868,00"
KTRK-100941,PT Aksara Teknologi Internasional,Pengembangan,199,2024-01-20,2024-08-06,"Rp167.738.389,00"
KTRK-100942,PT Teknologi Nusantara Corp,Pembelian,618,2023-08-27,2025-05-06,"Rp233.215.825,00"
KTRK-100943,PT Komputasi Utama Corp,Pengembangan,1039,2024-03-09,2027-01-12,"Rp381.535.599,00"
KTRK-100944,PT Aksara Teknologi Solusindo,Pengembangan,801,2024-08-24,2026-11-03,"Rp457.068.986,00"
KTRK-100945,PT Inovasi Digital Solusindo,Pembelian,447,2023-10-30,2025-01-19,"Rp428.988.471,00"
KTRK-100946,PT Sibernetika Internasional,Pembelian,429,2024-08-25,2025-10-28,"Rp126.233.365,00"
KTRK-100947,PT Komputasi Utama Solusindo,Pembelian,416,2023-06-02,2024-07-22,"Rp288.299.660,00"
KTRK-100948,PT Mitra Satu Tbk,Pengembangan,1015,2024-01-13,2026-10-24,"Rp298.484.285,00"
KTRK-100949,PT Digikarya Tbk,Maintenance,238,2023-04-03,2023-11-27,"Rp388.777.469,00"
KTRK-100950,PT Aksara Teknologi Solusindo,Maintenance,353,2023-10-23,2024-10-10,"Rp299.025.273,00"
KTRK-100951,PT Koneksi Global Corp,Pembelian,692,2023-05-04,2025-03-26,"Rp174.380.514,00"
KTRK-100952,PT Indoinovasi Solusindo,Pembelian,1026,2024-01-13,2026-11-04,"Rp332.931.029,00"
KTRK-100953,PT Sibernetika Group,Pengembangan,621,2024-01-25,2025-10-07,"Rp263.227.232,00"
KTRK-100954,PT Mitra Satu Systems,Maintenance,796,2023-11-15,2026-01-19,"Rp382.966.549,00"
KTRK-100955,PT Aksara Teknologi Systems,Pembelian,1057,2023-09-02,2026-07-25,"Rp490.791.753,00"
